name, birth_year, genre
Creep_Creepersin other, 1978, other
Cris_Cab other, 1994, other
Cris_Gunther other, 1975, other
Cristin_O'Keefe_Aptowicz poetry, 1978, poetry
Cristy_Road other, 1982, other
Cruz_Martínez other, 1972, other
Crystal_Bright other, 1981, other
Cupid_(singer) other, 1982, other
Curley_Williams other, 1914, other
Curly_Putman other, 1930, other
Curme_Gray science_fiction, 1910, science_fiction
Curtis_Hairston other, 1961, other
Curtis_Lee other, 1939, other
Curtis_Richa other, 1972, other
Curtis_Salgado other, 1954, other
Curtis_Wright other, 1955, other
Cynthia_Clawson other, 1948, other
Caitlin_Canty other, 1982, other
Caleb_Ginyard other, 1910, other
CaliCam other, 1981, other
Calvin_%22Joonie%22_Gary other, 1981, other
Calvin_Frazier other, 1915, other
Calvin_Hunt_(singer) other, 1957, other
Calvin_Richardson other, 1976, other
Calvin_Russell_(musician) other, 1948, other
Candace_Marie other, 1985, other
Candy_Dawson_Boyd other, 1946, other
Cara_Black_(author) other, 1951, other
Carah_Faye_Charnow other, 1984, other
Carl_Bell_(musician) other, 1967, other
Carl_Filipiak other, 1950, other
Carl_Finch other, 1951, other
Carl_Jackson other, 1953, other
Carleen_Anderson other, 1957, other
Carlo_Wolff other, 1943, other
Carlos_Dews other, 1963, other
Carmen_Espinoza-Rodriquez other, 1970, other
Carol_Fran other, 1933, other
Carol_Gorman other, 1952, other
Carol_Guess poetry, 1968, poetry
Carol_Plum-Ucci other, 1957, other
Carol_Weston other, 1956, other
Caroline_Pennell other, 1995, other
Caroline_Polachek other, 1985, other
Carolyn_Franklin other, 1944, other
Carolyn_Haines other, 1953, other
Carolyn_Meyer other, 1935, other
Carolyn_Wonderland other, 1972, other
Carolyn_Zane romance, 1958, romance
Carrie_Vaughn romance, 1973, romance
Carrie_Vaughn science_fiction, 1973, science_fiction
Carrie_Vaughn fantasy, 1973, fantasy
Carter_Beckworth other, 1986, other
Casey_Beathard other, 1965, other
Casey_Crescenzo other, 1983, other
Casey_Desmond other, 1986, other
Casey_Dienel other, 1985, other
Casey_McPherson other, 1978, other
Casey_Shea other, 1979, other
Cashis other, 1982, other
Cassandra_O'Neal other, 1973, other
Cassie_Edwards romance, 1936, romance
Cat_Rambo science_fiction, 1963, science_fiction
Cat_Rambo fantasy, 1963, fantasy
Catfish_Keith other, 1962, other
Catherine_Anderson other, 1948, other
Catherine_Anderson romance, 1948, romance
Catherine_Coulter romance, 1942, romance
Catherine_Crook_de_Camp science_fiction, 1907, science_fiction
Catherine_Crook_de_Camp fantasy, 1907, fantasy
Catherine_Feeny other, 1976, other
Cathie_Linz romance, 1954, romance
Cathy_Park_Hong poetry, 1976, poetry
Cathy_Song poetry, 1955, poetry
Cazwell other, 1972, other
Cecil_Castellucci other, 1969, other
Cedric_Bixler-Zavala other, 1974, other
Cedric_Burnside other, 1978, other
